name,tier,tier_name,iclevel,region,state,cfips,county,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc
Volunteer State Community College,9,Two-year (public and private not-for-profit),2,3,TN,47165,Sumner,0.55638134,0.56240207,0.008785755,1.30E-05,80671.05297,70800,0.555198258,0.10590322,0.1779559,0.24094026,0.29169187,0.18350881,0.066124648,0.02864085,0.004307689,2.08E-05
Wabash College,6,Selective private,1,2,IN,18107,Montgomery,0.003305785,0.62956327,0.017322537,0.000653118,139083.9872,100800,0.698571874,0.043702494,0.07635767,0.17587847,0.2656464,0.43841499,0.2598322,0.14368755,0.02582421,0.000302687
Wagner College,6,Selective private,1,1,NY,36085,Richmond,0.58172232,0.5770995,0.021850966,0,145977.5981,114400,0.728187582,0.051794525,0.084504977,0.11988063,0.22783189,0.51598799,0.29591718,0.14025417,0.032166932,0.001636577
Wake Forest University,2,Other elite schools (public and private),1,3,NC,37067,Forsyth,0.51275688,0.65989584,0.007211999,0.001016097,433526.4192,191500,0.844290743,0.017875917,0.036367275,0.079176322,0.12709767,0.73948276,0.60675591,0.46440649,0.16580261,0.017647181
Wake Technical Community College,9,Two-year (public and private not-for-profit),2,3,NC,37183,Wake,0.48691335,0.47295725,0.009514466,0.000455499,92029.02701,78900,0.591395028,0.1036098,0.1678247,0.18579137,0.25057465,0.29219955,0.12457829,0.042601205,0.002983506,0.000451891
Waldorf College,10,Four-year for-profit,1,2,IA,19189,Winnebago,0.46153846,0.71445614,0.016123755,4.04E-05,80856.10417,70300,0.55130142,0.10320207,0.16590442,0.26790172,0.29116744,0.17182437,0.059531886,0.018175306,0.006845905,0.0001292
Walla Walla Community College,9,Two-year (public and private not-for-profit),2,4,WA,53071,Walla Walla,0.48389095,0.54710048,0.012369398,0,72360.35619,62000,0.5131767,0.12521099,0.21262749,0.26746598,0.24909775,0.14559789,0.051468614,0.025824588,0.002017534,0.00019473
Walla Walla University,6,Selective private,1,4,WA,53071,Walla Walla,0.52194357,0.69295704,0.012220651,0.001296809,130955.5729,94100,0.673508366,0.060957801,0.11012562,0.17450112,0.25951385,0.3949016,0.2511,0.16098024,0.020258699,0.000163203
Walsh University,6,Selective private,1,2,OH,39151,Stark,0.55403346,0.66895604,0.006330845,0,97740.2922,82700,0.628139932,0.049383417,0.10600141,0.24998023,0.36118376,0.23345116,0.09886723,0.051593989,0.007175476,0.001498147
Walters State Community College,9,Two-year (public and private not-for-profit),2,3,TN,47063,Hamblen,0.58264083,0.57330471,0.011653473,0.000262768,63824.18382,55300,0.463645241,0.18398106,0.22277395,0.27398509,0.22686112,0.092398897,0.036213659,0.018753495,0.003403311,0.000334364
