Institution,Control,State,Category
New Jersey Institute of Technology,Public,NJ,<a href="https://www.njit.edu/update-provost-deek-pandemic-recovery-plan" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
New Mexico State University,Public,NM,<a href="https://nmsu.edu/coronavirus/#communications" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
New York Film Academy,Private,NY,<a href="https://www.nyfa.edu/about/message-about-coronavirus.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
New York Institute of Technology,Private,NY,<a href="https://www.nyit.edu/medicine/covid_19_communications#update2" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
New York University,Private,NY,<a href="https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/provostial-communications/the-2020-21-school-year-safety-academics-flexibility.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Newberry College,Private,SC,<a href="https://www.newberry.edu/subpages/lent-devotional-2019#fall2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
North Carolina A&T State University,Public,NC,<a href="https://www.northcarolina.edu/news/2020/04/UNC-System-Interim-President-Moving-Forward-Toward-Fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
North Carolina Central University,Public,NC,<a href="https://www.nccu.edu/news/message-chancellor-campus-updates-and-fall-2020-preparations" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
North Carolina State University,Public,NC,<a href="https://www.ncsu.edu/coronavirus/preparing-for-what-lies-ahead/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
North Central College,Private,IL,<a href="https://www.info.northcentralcollege.edu/2020/05/18/irt-fall-planning-document/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
North Dakota University system — all campuses,Public,ND,<a href="https://www.inforum.com/news/education/6465252-North-Dakota-University-System-intends-to-have-students-back-on-campus-this-fall" target="_blank" rel="nofollow noopener noreferrer">Link</a>
North Dakota University system — Bismarck State College,Public,ND,Planning for in-person
North Dakota University system — Dakota College at Bottineau,Public,ND,Planning for in-person
North Dakota University system — Dickinson State University,Public,ND,Planning for in-person
North Dakota University system — Lake Region State College,Public,ND,Planning for in-person
North Dakota University system — Mayville State University,Public,ND,Planning for in-person
North Dakota University system — Minot State University,Public,ND,Planning for in-person
North Dakota University system — North Dakota State College of Science,Public,ND,Planning for in-person
North Dakota University system — North Dakota State University,Public,ND,Planning for in-person
North Dakota University system — University of North Dakota,Public,ND,Planning for in-person
North Dakota University system — Valley City State University,Public,ND,Planning for in-person
North Dakota University system — Williston State College,Public,ND,Planning for in-person
North Park University,Private,IL,<a href="https://assets.northpark.edu/wp-content/uploads/20200515151326/COVID-19_Update_5.15.20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northeastern State University,Public,OK,<a href="https://news.northeastern.edu/2020/06/11/northeastern-introduces-nuflex-a-safe-flexible-way-for-students-to-learn-anywhere/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Northeastern University,Private,MA,<a href="https://news.northeastern.edu/coronavirus/university-messages/our-path-forward/?fbclid=IwAR1FmmFhINnFYwSRBv26i0T2zpE8lJai5fvOEMd2zl0VPuQJufIfB_9wOpQ" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northern Arizona University,Public,AZ,<a href="https://nau.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northern Illinois University,Public,IL,<a href="https://www.niu.edu/updates/messaging/4-23-20-covid-extension-from-president.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Northern Illinois University,Public,IL,<a href="https://www.niu.edu/updates/messaging/5-19-20-update-on-fall-plans-from-provost-ingram-to-returning-students.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Northern Michigan University,Public,MI,<a href="https://news.nmu.edu/node/930" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northern Vermont University,Public,VT,<a href="https://www.vsc.edu/press-release-vermont-state-colleges-system-thanks-legislative-leaders-pledging-financial-support-campuses-open-fall-urges-students-enroll-return/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northern Virginia Community College,Public,VA,<a href="https://www.nvcc.edu/coronavirus/updates/fall-2020-plans.html" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Northwest Missouri State University,Public,MO,<a href="https://www.nwmissouri.edu/media/news/2020/05/05fallclasses.htm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northwest Nazarene University,Private,ID,<a href="https://www.nnu.edu/covid-19-update-returning-in-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northwestern College,Private,IA,<a href="https://www.nwciowa.edu/wellness/coronavirus/FAQs" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Northwestern University,Private,IL,<a href="https://www.northwestern.edu/coronavirus-covid-19-updates/developments/phased-return-to-campus-plan.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Norwich University,Private,VT,<a href="https://www.norwich.edu/news/psa" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Notre Dame of Maryland University,Private,MD,<a href="https://www.ndm.edu/news-and-events/news/ndmu-opening-fall-2020-face-face-classes-and-residential-living" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Nova Southeastern University,Private,FL,<a href="https://www.nova.edu/coronavirus/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oakland City University,Private,IN,<a href="https://www.oak.edu/about/campus-news/oakland-city-university-prepares-reopen-main-campus-and-aps-campus-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oakland Community College,Public,MI,<a href="https://www.mlive.com/news/ann-arbor/2020/05/michigan-community-colleges-look-ahead-to-fall-enrollment-consider-hybrid-course-strategies.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Oakland University,Public,MI,<a href="https://www.bridgemi.com/talent-education/first-michigan-college-unveils-fall-plan-masks-tests-some-campus-classes" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Oberlin College,Private,OH,<a href="https://www.oberlin.edu/campus-resources/bulletins/covid-19-planning-2020-21-oberlin-college" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ohio Dominican University,Private,OH,<a href="https://www.ohiodominican.edu/future-students/odu-news-events/news-item/2020/05/19/ohio-dominican-announces-plans-to-resume-on-campus-instruction-in-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ohio Northern University,Private,OH,<a href="https://www.onu.edu/news/onu-resume-person-education-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ohio State University,Public,OH,<a href="https://news.osu.edu/ohio-state-announces-plans-for-an-autumn-semester-return-to-campuses/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ohio University,Public,OH,<a href="https://www.ohio.edu/news/2020/05/ohio-university-prepares-open-campuses-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ohio Wesleyan University,Private,OH,<a href="https://www.owu.edu/news-media/details/safe-campus-opening-task-force/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oklahoma Panhandle State University,Public,OK,<a href="https://opsu.edu/coronavirus/Statement//" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oklahoma State University,Public,OK,<a href="https://go.okstate.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Old Dominion University,Public,VA,<a href="https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co/update-31" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oral Roberts University,Private,OK,<a href="https://oru.edu/news/oru_news/20200527-new-fall-schedule-for-2020.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Oregon State University,Public,OR,<a href="https://covid.oregonstate.edu/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Otterbein University,Private,OH,<a href="https://www.otterbein.edu/news/otterbein-university-will-open-campus-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ouachita Baptist University,Private,AR,<a href="https://obu.edu/stories/news/COVID-19/index.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pace University,Private,NY,<a href="https://myemail.constantcontact.com/Memo-to-Students--Updates-for-Spring-Semester--Summer-Courses--and-Fall-Planning.html?soid=1103481471610&amp;aid=PmPwvZPaFIM" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pacific Lutheran University,Private,WA,<a href="https://www.plu.edu/marcom/news/2020/04/29/whats-happening-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pacific Northwest College of Art,Private,OR,<a href="https://vimeo.com/413815925" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pacific School of Religion,Private,CA,<a href="https://psr.edu/latest-updates-from-the-president/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Pacific University,Private,OR,<a href="https://www.pacificu.edu/about/media/pacific-prepares-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Palm Beach Atlantic University,Private,FL,<a href="http://www.pba.edu/campus-life/health-wellness/safety/covid-19/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Palomar College,Public,CA,<a href="https://www2.palomar.edu/pages/covid19/majority-of-fall-semester-courses-will-be-online/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Pennsylvania State University,Public,PA,<a href=" https://virusinfo.psu.edu/back-to-state/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pepperdine University,Private,CA,<a href="https://emergency.pepperdine.edu/2020/05/15/a-message-from-president-gash-pepperdine-restoration-plan/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pittsburg State University,Public,KS,<a href="https://aur.edu/news/new-academic-calendar-fall-2020-aur" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pittsburgh Technical College,Private,PA,<a href="https://ptcollege.edu/public-safety/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Plymouth State University,Public,MA,<a href="https://www.plymouth.edu/task-force-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Point Loma Nazarene University,Private,CA,<a href="https://www.pointloma.edu/coronavirus-covid-19-information/frequently-asked-questions" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Point Park University,Public,PA,<a href="https://www.pointpark.edu/StudentLife/HealthandStudentServices/StudentHealthCenter/covid/index" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pomona College,Private,CA,<a href="https://www.pomona.edu/coronavirus/updates/posts/planning-fall-semester-5720" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Portland Community College,Public,OR,<a href="https://www.pcc.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Portland State University,Public,OR,<a href="https://www.pdx.edu/coronavirus-response" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Post University,Private,CT,<a href="https://post.edu/blog/message-from-university-president-provost-for-returning-students-main-campus/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Prairie View A&M University,Public,TX,<a href="http://www.pvamu.edu/coronavirus/wp-content/uploads/sites/191/2020/05/Fall-Semester-Update-5.1.2020.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Pratt Institute,Private,NY,<a href="https://giving.pratt.edu/emailviewonwebpage.aspx?erid=10690993&amp;trid=e1068be3-e9c1-4b05-8af0-0271fc616de8" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Presbyterian College,Private,SC,<a href="http://www.indexjournal.com/lakelands_connector/presbyterian-college-moves-summer-classes-online-plans-for-on-campus-classes-this-fall/article_07cc3a33-1278-50a5-9191-f3642e5724f0.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Prescott College,Private,AZ,<a href="https://prescottcollege.lpages.co/new-block-schedule-2/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Princeton University,Private,NJ,<a href="https://www.princeton.edu/news/2020/05/04/president-eisgruber-writes-princeton-community-about-state-university-and-planning" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Providence Christian College,Private,CA,<a href="https://www.providencecc.edu/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Purdue University,Public,IN,<a href="https://www.purdue.edu/president/messages/campus-community/2020/2004-fall-message.php?_ga=2.109533381.1134557030.1587428196-1139376489.1587428196" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Purdue University Fort Wayne,Public,IN,<a href="https://www.pfw.edu/microsites/coronavirus/announcements/putting-health-and-safety-first-as-we-plan-ahead-202005111345" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Queens University of Charlotte,Private,NC,<a href="https://www.queens.edu/news/2020/health-advisory.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Quincy University,Private,IL,<a href="https://wgem.com/2020/05/13/quincy-university-plans-to-have-face-to-face-classes-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Radford University,Public,VA,<a href="https://www.radford.edu/content/radfordcore/home/coronavirus/updates/fall-reopening.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Randolph College,Private,VA,<a href="https://www.randolphcollege.edu/covid19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Randolph-Macon College,Private,VA,<a href="https://www.rmc.edu/campus-life/student-health-center/covid-19/may-15---updates-from-president-lindgren" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Reed College,Private,OR,<a href="https://www.reed.edu/coronavirus/communications/may-1-2020-plans-for-reeds-fall-semester.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Reformed Theological Seminary,Private,Multiple,<a href="https://rts.edu/news/news-institutional/rts-announces-plans-for-fall-2020-classes/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Regis College,Private,MA,<a href="https://www.regiscollege.edu/about-regis/news/regis-college-announces-new-details-fall-2020-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Regis University,Private,CO,<a href="https://www.regis.edu/news/2020/05/fall-semester-to-start-early" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rensselaer Polytechnic Institute,Private,NY,<a href="https://covid19.rpi.edu/announcements/hands-experiences" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Rhode Island School of Design,Private,RI,<a href="https://covid.risd.edu/teaching-learning/instruction-fall2020/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Rhodes College,Private,TN,<a href="https://news.rhodes.edu/stories/rhodes-announces-plans-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rice University,Private,TX,<a href="https://www.ricethresher.org/article/2020/05/leebron-announces-plan-for-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Rider University,Private,NJ,<a href=" https://www.rider.edu/news/2020/05/07/letter-president-dellomo-about-formation-fall-2020-planning-task-force " target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Roanoke College,Private,VA,<a href="https://www.roanoke.edu/about/news/maxey_message_fall_2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Robert Morris University,Private,PA,<a href="https://pittsburgh.cbslocal.com/2020/05/13/rmu-fall-2020-in-person-classes/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rochester Institute of Technology,Private,NY,<a href="https://www.rit.edu/news/eyes-fall-time-creativity" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rockhurst University,Private,MO,<a href="https://twitter.com/RockhurstU/status/1255932257950486528" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Roger Williams University,Private,RI,<a href="https://pbn.com/rwu-working-on-protocols-to-reopen-campus-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rollins College,Private,FL,<a href="https://emergency.rollins.edu/covid19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Roosevelt University,Private,IL,<a href="https://blogs.roosevelt.edu/coronavirus/2020/05/04/new-campus-housing-requirements-and-options/#more-472" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Rose-Hulman Institute of Technology,Private,IN,<a href="https://www.loyno.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Rosemont College,Private,PA,<a href="https://www.rosemont.edu/about/rosemont-2020/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Rowan University,Public,NJ,<a href="https://www.rowan.edu/virusinfo/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Rutgers University,Public,NJ,<a href="https://nbchancellor.rutgers.edu/status" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Sacred Heart University,Private,CT,<a href="https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Sain Mary's University,Private,TX,<a href="https://www.stmarytx.edu/emergency/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Saint Francis University,Private,PA,<a href="https://www.francis.edu/coronavirus-updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Saint John's University,Private,MN,<a href="https://www.csbsju.edu/covid-19/campus-communications/060820-student-update" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Saint Lawrence University,Private,NY,<a href="https://www.stlawu.edu/covid-19/important-updates#Fall2020-Planning" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Saint Leo University,Private,FL,<a href="https://www.saintleo.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Saint Mary's College,Private,IN,<a href="https://www.saintmarys.edu/emergency-info" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Saint Mary's College of California,Private,CA,<a href="https://www.stmarys-ca.edu/fall-2020-academic-plan-message-from-the-provost" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Saint Mary's University of Minnesota,Private,MI,<a href="https://newsroom.smumn.edu/2020/05/21/fall-semester-planning-update//" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Saint Norbert College,Private,WI,<a href="https://www.snc.edu/covid19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Salem University,Private,WV,<a href="https://www.salemu.edu/wp-content/uploads/2020/06/President-Finufs-Message-Regarding-Fall.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Samford University,Private,AL,<a href="https://www.samford.edu/news/2020/04/Samford-Announces-Plans--Fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
San Bernardino Valley College,Public,CA,<a href="https://www.valleycollege.edu/eSchedule/Online/Schedule/V/2020FA/index.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
San Diego Miramar College,Public,CA,<a href="https://www.sdccd.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
San Jacinto College,Public,TX,<a href="https://www.sanjac.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
San Jose City College,Public,CA,<a href="https://www.sjcc.edu/future-students/apply-now" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Santa Clara University,Private,CA,<a href="https://www.scu.edu/kob/fall-2020-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Santa Monica College,Public,CA,<a href="http://www.smc.edu/ACG/Superintendent-President/Message/Pages/Fall-2020-Update-Watch-We-Miss-You.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Santa Rosa Junior College,Public,CA,<a href="https://www.santarosa.edu/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Sarah Lawrence College,Private,NY,<a href="https://www.sarahlawrence.edu/status/covid/#accordion-2-1-1-4" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Savannah College of Art and Design,Private,GA,<a href="https://www.scad.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
School of Visual Arts,Private,NY,<a href="https://sva.edu/features/message-from-sva-about-covid-19-novel-coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Schreiner University,Private,TX,<a href="https://schreiner.edu/news-schreiner-university-announces-plans-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Scripps College,Private,CA,<a href="https://www.scrippscollege.edu/news/campus-news/2020-21-academic-calendar-announcement" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Seattle University,Private,WA,<a href="https://www.seattleu.edu/newsroom/stories/seattle-university-intends-to-re-open-for-fall-quarter.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Seton Hall University,Private,NJ,<a href="https://www.shu.edu/news/planned-opening-fall-semester.cfm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Seton Hill University,Private,PA,<a href="https://www.setonhill.edu/student-life/counseling-disability-health-services/coronavirus-updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Sewanee: The University of the South,Private,TN,<a href="https://new.sewanee.edu/news/planning-is-underway-for-fall-semeste//" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Shenandoah University,Private,VA,<a href="https://www.su.edu/blog/category/health/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Shepherd University,Public,WV,<a href="https://www.shepherd.edu/news/president-hendrix-addresses-staff-council-about-reopening-shepherd-avoiding-layoffs/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Siena College,Private,NY,<a href="https://www.siena.edu/offices/health-services/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Siena Heights University,Private,MI,<a href="https://sienaheights.edu/Siena-Heights-News/ArtMID/2940/ArticleID/710/Siena-Heights-University-Fall-2020-Opening-Statement" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Sierra College,Public,CA,<a href="https://twitter.com/SierraCollege/status/1254807916701298688" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Simmons University,Private,MA,<a href="https://www.simmons.edu/news/simmons-university-announces-comprehensive-online-undergraduate-experience" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Simpson College,Private,IA,<a href="https://simpson.edu/covid19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Simpson University,Private,CA,<a href="https://simpsonunews.com/2020/05/05/simpson-university-announces-intention-to-reopen-campus-in-fall-20/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Skidmore College,Private,NY,<a href="https://www.skidmore.edu/covid19/messages/2020-05-20-message.php" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Skyline College,Public,CA,<a href="https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Slippery Rock University,Public,PA,<a href="https://www.sru.edu/covid19/index.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Slippery Rock University,Public,PA,<a href="https://www.sru.edu/news/060520a" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Smith College,Private,MA,<a href="https://www.smith.edu/president-kathleen-mccartney/letters/2019-20/message-for-students-and-families-may-26-2020" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Soka University of America,Private,CA,<a href="https://www.soka.edu/coronavirus-update" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
South Dakota Board of Regents,Public,SD,<a href="https://www.usd.edu/news/2020/usd-prepares-for-fall-semester-launch" target="_blank" rel="nofollow noopener noreferrer">Link</a>
South Dakota Board of Regents — Black Hills State University,Public,SD,Planning for in-person
South Dakota Board of Regents — Dakota State University,Public,SD,Planning for in-person
South Dakota Board of Regents — Northern State University,Public,SD,Planning for in-person
South Dakota Board of Regents — South Dakota School of Mines and Technology,Public,SD,Planning for in-person
South Dakota Board of Regents — South Dakota State University,Public,SD,Planning for in-person
South Dakota Board of Regents — University of South Dakota,Public,SD,Planning for in-person
Southeast Missouri State University,Public,MO,<a href="https://semo.edu/sealerts/pdf/5-27-20UpdateFromPresidentVargas.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southeastern Oklahoma State University,Public,OK,<a href="https://www.se.edu/2020/05/new-southeastern-president-begins-duties-will-form-task-force-to-plan-for-return-to-regular-classes-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southern Illinois University,Public,IL,<a href="https://thesouthern.com/news/local/siu/we-are-optimistic-siu-preparing-to-welcome-students-back-to-campuses-this-fall/article_ffcc5bff-dd25-5b2d-a3e8-b035b222648f.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Southern Methodist University,Private,TX,<a href="https://blog.smu.edu/coronavirus-covid-19/2020/04/30/we-intend-to-be-open-in-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southern Nazarene University,Private,OK,<a href="http://rudy.snu.edu/go/Covid-19.html#4.29" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southern New Hampshire University,Private,NH,<a href="https://www.snhu.edu/about-us/newsroom/2020/06/extends-remote-learning-for-campus-students" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Southern Wesleyan University,Private,SC,<a href="https://www.swu.edu/infectious-disease-response-plan/covid-19-updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southwest Baptist University,Private,MO,<a href="https://bolivarmonews.com/free/let-there-be-life/article_11d6e50e-91a1-11ea-b50e-d34ba7f9a711.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southwest Minnesota State University,Public,MN,<a href="https://www.smsu.edu/resources/webspaces/campuslife/healthservices/healthalerts/coronavirus/communications/email_facultyandstaff_20200515.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southwestern Baptist Theological Seminary,Private,TX,<a href="https://swbts.edu/news/releases/southwestern-seminary-announces-plans-resume-campus-instruction-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southwestern Oklahoma State University,Public,OK,<a href="https://www.swosu.edu/news/releases/2020/2020-05-04b.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Southwestern University,Private,TX,<a href="https://www.southwestern.edu/live/news/14103-southwestern-university-to-begin-fall-semester-as" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Spring Arbor University,Private,MI,<a href="https://www.arbor.edu/about/offices-and-schools/holton-health-and-wellness-services/coronavirus-updates-and-resources/covid-19-apr-29-student-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Springfield College,Private,MA,<a href="https://springfield.edu/covid/communications/may202020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. Bonaventure University,Private,NY,<a href="https://www.sbu.edu/coronavirus-information" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
St. Cloud State University,Public,MN,<a href="http://universitychron.com/scsu-town-hall-may-15-2020-the-word-of-our-future-is-flexible/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
