Institution,Control,State,Category
Beloit College,Private,WI,<a href="https://www.beloit.edu/live/blurbs/630-reasons-for-module-based-semester-letter-sent-to" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Bemidji State University,Public,MN,<a href="https://www.bemidjistate.edu/news/2020/06/09/message-to-bsu-students-regarding-fall-2020-semester-plans/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Benedictine College,Private,KS,<a href="https://www.benedictine.edu/press-room/news/2020/fall-opening-on-campus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bennington College,Private,VT,<a href="https://www.bennington.edu/bennington-college-fall-2020-plan" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bentley University,Private,MA,<a href="https://www.bentley.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Berkeley City College,Public,CA,<a href="https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Berklee College of Music,Private,MA,<a href="https://www.youtube.com/watch?v=FYdxoudpXDA&amp;feature=youtu.be" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Bethany College,Private,WV,<a href="https://www.bethanywv.edu/about-bethany/bethany-plans-to-resume-on-campus-classes-in-august/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bethel College,Private,KS,<a href="https://www.bethelks.edu/coronavirus-information" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bethel University,Private,MN,<a href="https://www.bethel.edu/covid-19/images/5-11-20-covid-19-update.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Binghamton University,Public,NY,<a href="https://www.binghamton.edu/president/statements.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Biola University,Private,CA,<a href="https://www.biola.edu/coronavirus#april_30_2020_message_from_president_corey" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bloomfield College,Private,NJ,<a href="https://bloomfield.edu/campus-life/campus-security/campus-alerts/coronavirus-updates/messages-president-marcheta-p-evans" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Bloomsburg University,Public,PA,<a href="https://bloomu.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bluffton University,Private,OH,<a href="https://www.bluffton.edu/alert/index.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bob Jones University,Private,SC,<a href="https://today.bju.edu/news/bob-jones-university-to-open-for-in-person-fall-classes/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Boise State University,Public,ID,<a href="https://www.boisestate.edu/publicsafety-emergencymanagement/2020/05/22/campus-reintegration-plan/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
